"link_vacancy","vacancy_name","skills","create_time","salary","company","work_exp"
"https://spb.hh.ru/vacancy/46743249?from=vacancy_search_list&query=Python","Python-разработчик в отдел по машинному обучению (middle+/senior)","['Python', 'Git', 'ООП', 'PostgreSQL', 'Flask']","30 августа 2021","от 150 000 до 250 000 руб.","Медицинские Скрининг Системы","1–3 года"
"https://spb.hh.ru/vacancy/47109241?from=vacancy_search_list&query=Python","Middle Python Developer","['Python', 'PostgreSQL', 'Django', 'Git', 'HTTP']","28 августа 2021","от 60 000 до 140 000 руб.","Qmobi Ltd","3–6 лет"
"https://spb.hh.ru/vacancy/46797297?from=vacancy_search_list&query=Python","Младший Python разработчик / Junior Python Developer (Back-end)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47403428?from=vacancy_search_list&query=Python","Middle/Senior Python developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47204189?from=vacancy_search_list&query=Python","Ведущий Python разработчик (Удаленно)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/42686828?from=vacancy_search_list&query=Python","Python developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/43157032?from=vacancy_search_list&query=Python","Разработчик Python","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46694197?from=vacancy_search_list&query=Python","Программист (Python)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/45143092?from=vacancy_search_list&query=Python","Разработчик Python","['Java', 'Python', 'Linux', 'SQL', 'MS SQL']","30 августа 2021","з/п не указана","СИГМА","3–6 лет"
"https://spb.hh.ru/vacancy/45984454?from=vacancy_search_list&query=Python","Python-разработчик в Процессы бэк-офиса","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47083929?from=vacancy_search_list&query=Python","Middle Python Developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47434570?from=vacancy_search_list&query=Python","Программист Python","['Python', 'Git', 'Django Framework', 'SQL', 'MongoDB']","27 августа 2021","з/п не указана","СПб ГУП Санкт-Петербургский информационно-аналитический центр","1–3 года"
"https://spb.hh.ru/vacancy/47438718?from=vacancy_search_list&query=Python","Python-разработчик","[]","[]","","[]",""
